stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5104,,"P.le Roma (S.Andrea) ""B""",,45.438900,12.316018,,,,,,
5108,,Punta Sabbioni DX,,45.447433,12.424286,,,,,,
5109,,P.ta Sabbioni N/T,,45.446976,12.424375,,,,,,
5113,,Burano SX per F.te Nove,,45.487572,12.416754,,,,,,
5114,,"Murano Colonna ""B""",,45.451111,12.348869,,,,,,
5115,,Bacini - Arsenale Nord,,45.439205,12.357293,,,,,,
5116,,S. Pietro di Castello,,45.433834,12.361842,,,,,,
5117,,Murano Da Mula,,45.456116,12.351936,,,,,,
5118,,Zitelle DX,,45.426624,12.337678,,,,,,
5119,,Murano Museo SX,,45.456139,12.355189,,,,,,
5120,,"Murano Colonna ""C""",,45.451134,12.348564,,,,,,
5124,,Giardini DX,,45.429760,12.354997,,,,,,
5126,,Deposito Arsenale,,45.433453,12.347198,,,,,,
5128,,Giardini Biennale DX,,45.428886,12.356096,,,,,,
5129,,Giudecca Palanca DX,,45.426899,12.325401,,,,,,
5132,,S. Marcuola-Casino' SX,,45.442513,12.328278,,,,,,
5133,,Arsenale SX,,45.432896,12.348330,,,,,,
5135,,Crea,,45.445278,12.321106,,,,,,
5136,,Riva de Biasio DX,,45.441830,12.325079,,,,,,
5137,,Zattere Gesuati,,45.429050,12.327344,,,,,,
5138,,Rialto Mercato,,45.439453,12.335298,,,,,,
5139,,Sacca Fisola SX,,45.428959,12.316327,,,,,,
5142,,Deposito Tronchetto,,45.438442,12.303600,,,,,,
5144,,Deposito F.te Nove,,45.444786,12.337988,,,,,,
5146,,Deposito S. Elena,,45.424648,12.362938,,,,,,
5151,,Burano ponente,,45.487690,12.415232,,,,,,
5152,,"Lido (S.M.E.) ""E""",,45.417358,12.367540,,,,,,
5153,,Parcheggio Cantiere S.Ele,,45.431026,12.362642,,,,,,
5154,,Deposito Chioggia P.tta V,,45.223713,12.280280,,,,,,
5155,,Deposito S.Nicolo',,45.425369,12.377941,,,,,,
5156,,Parcheggio Lido,,45.418121,12.369387,,,,,,
5157,,Parcheggio P.le Roma,,45.439991,12.318908,,,,,,
5158,,"Lido (S.M.E.) ""C"" dir. P.",,45.417698,12.368246,,,,,,
5159,,Spirito Santo,,45.428310,12.331958,,,,,,
5161,,Deposito Pieta',,45.433533,12.344774,,,,,,
5164,,San Vio,,45.431099,12.330381,,,,,,
5166,,"Rialto ""A""",,45.436981,12.334541,,,,,,
5189,,Guglie sx,,45.444424,12.324183,,,,,,
5190,,"Ferrovia ""B""",,45.440685,12.321736,,,,,,
5191,,"Ferrovia ""E""",,45.439873,12.320880,,,,,,
5500,,Casino' di Venezia,,45.442341,12.329644,,,,,,
5501,,P.le Roma (Hotel S. Chiar,,45.438667,12.319465,,,,,,
15060,,"F.te Nove ""C""",,45.443016,12.340888,,,,,,
15085,,Tre Archi,,45.446289,12.319780,,,,,,
15108,,Punta Sabbioni DX,,45.447338,12.424333,,,,,,
